Title,year,dominant_topic,topic_label
MANAGE THE LOAD,2025,1,"Topic 2: system, process, model"
Congressional Oversight of the Military Health System: Lessons Learned from the Walter Reed Army Medical Center Scandal,2025,1,"Topic 2: system, process, model"
A Predictive Decision-Support Framework Using Machine Learning Algorithms to Mitigate Supply Chain Risks and Optimize On-Time Delivery of Gas Turbine Jet Engines,2025,1,"Topic 2: system, process, model"
Analyzing Factors That Contribute to Cost Overruns on Department of Defense (DoD) Contractor Programs,2025,0,"Topic 1: program, service, leadership"
Imaging anatomy study related to unilateral biportal endoscopic lumbar spine surgery,2024,0,"Topic 1: program, service, leadership"
ADDRESSING THE KNOWLEDGE GAP IN OPERATIONAL CONTRACT SUPPORT: ARMY LOGISTICIAN,2024,3,"Topic 4: army, would, training"
Qué hace falta para ganar tu primer rol como CIO,2024,2,"Topic 3: project, management, process"
HR SUSTAINMENT: Defending a Free Open Indo-Pacific: Army Logistician,2024,3,"Topic 4: army, would, training"
President's Circle-INDUSTRY MEMBERS,2024,0,"Topic 1: program, service, leadership"
NEW AFRC DIVISION TO FOCUS ON SYNCHRONIZING RECRUITING AND RETENTION,2024,0,"Topic 1: program, service, leadership"
The Problem With Birds,2024,2,"Topic 3: project, management, process"
"Signal Processing for Large Arrays : Convolutional Beamspace, Hybrid Analog and Digital Processing, and Distributed Algorithms",2024,0,"Topic 1: program, service, leadership"
Dynamic Instability Investigation of the Automotive Driveshaft’s Forced Torsional Vibration Using the Asymptotic Method,2024,1,"Topic 2: system, process, model"
Project Engineers on the Frontline: The Impact of Work-Related Stressors and Turnover Intentions: A Correlational Study,2024,0,"Topic 1: program, service, leadership"
The Ontology of Nurse Wellbeing Within United States Air Force Primary Care Medical Homes,2024,0,"Topic 1: program, service, leadership"
Optimizing Moon Energy Storage for Resilience: A 20-Year Life Cycle Approach,2024,1,"Topic 2: system, process, model"
<strong>Skills of an Effective United States Air Force Program Manager:</strong> A Qualitative Descriptive Study of the Skills Required for United States Air Force Program Managers,2024,0,"Topic 1: program, service, leadership"
Leadership Development Strategies for Sustaining Organization Performance Through the Upper Echelon Theory,2024,0,"Topic 1: program, service, leadership"
LEADER DEVELOPMENT: Army Invests in Logisticians with Industry-Based Broadening Opportunity: Army Logistician,2023,0,"Topic 1: program, service, leadership"
SEPARATE BUT TOGETHER,2023,1,"Topic 2: system, process, model"
What Being a DoD Financial Management Professional Means,2023,0,"Topic 1: program, service, leadership"
CAN YOU HEAR ME?,2023,2,"Topic 3: project, management, process"
smart women Awards,2023,0,"Topic 1: program, service, leadership"
INDUSTRY MEMBERS-President's Circle,2023,0,"Topic 1: program, service, leadership"
Passing the Word,2023,0,"Topic 1: program, service, leadership"
Performance Indicators for Collaborative Business Ecosystems,2023,1,"Topic 2: system, process, model"
Lean Six Sigma Application in the Healthcare Sector a Case Study in a Gynaecology Exam Room,2023,2,"Topic 3: project, management, process"
The Influence of Attachment Styles and Mental Health Symptoms on Marital Satisfaction Among Deployed US Army Soldiers,2023,0,"Topic 1: program, service, leadership"
Transitioning From Military Life: Furthering Higher Education for the Air Force Enlisted Member,2023,0,"Topic 1: program, service, leadership"
Improving Defense Acquisition Process Timelines in a System Program Office,2023,1,"Topic 2: system, process, model"
Correlating Leadership Styles to Job Satisfaction in the U.S. Army’s Parachute Rigger Community,2023,0,"Topic 1: program, service, leadership"
Designing Doctrine Between Failures: The Role Knowledge Creation Plays in Organizational Learning When the Environment is Complex,2023,3,"Topic 4: army, would, training"
Characteristics of Non-benzodiazepine Sedative Hypnotic Use Among Combat Injured U.S. Service Members With Insomnia,2023,0,"Topic 1: program, service, leadership"
Knowledge Management Implementation in U.S. Army Headquarters: A Case Study,2023,3,"Topic 4: army, would, training"
Project Teams’ Dynamics and Morale: An Exploration of Impacts of Pandemic Adaptation in a Segment of the U.S. Navy,2023,0,"Topic 1: program, service, leadership"
Characteristics of Non-Benzodiazepine Sedative Hypnotic Use Among Combat Injured U.S. Service Members with Insomnia,2023,0,"Topic 1: program, service, leadership"
Natural Antioxidant By-Product Mixture Counteracts the Effects of Aflatoxin B1 and Ochratoxin A Exposure of Piglets after Weaning: A Proteomic Survey on Liver Microsomal Fraction,2023,0,"Topic 1: program, service, leadership"
Engineering Management Tool for Minimizing Errors and Costs in Diagnosing PTSD in Veterans,2023,0,"Topic 1: program, service, leadership"
Improving Depot Repair Lead Time Using Lean Six Sigma,2023,2,"Topic 3: project, management, process"
"The Good, the Bad, and the Ugly (of Service Contracting)",2022,3,"Topic 4: army, would, training"
Chairman's Circle,2022,0,"Topic 1: program, service, leadership"
Bayesian Modeling Coating Performance,2022,3,"Topic 4: army, would, training"
Improve Soldiers' Work Lives By Automating Workloads,2022,3,"Topic 4: army, would, training"
THE ESSENTIAL ROLE OF SOLDIER TOUCH POINTS,2022,3,"Topic 4: army, would, training"
Developments in high-resolution mass spectrometric analyses of new psychoactive substances,2022,1,"Topic 2: system, process, model"
"A Textile Education, Circa 2022",2022,1,"Topic 2: system, process, model"
Demystifying service as a US Army engineer: IE,2022,3,"Topic 4: army, would, training"
Evaluation of Analysis Methods in Mass Spectrometry Based Proteomics,2022,1,"Topic 2: system, process, model"
Continual Improvements in Information and Technology: A Quantitative Ex Post Facto (Causal Comparative) Study Design,2022,1,"Topic 2: system, process, model"
A Qualitative Intrinsic Case Study Exploring the Effectiveness of Instructor Upgrade Training among Air National Guard Air Battle Managers,2022,0,"Topic 1: program, service, leadership"
Intervenciones basadas en métodos de relajación en el contexto escolar desde la perspectiva de la promoción de la salud y el bienestar: una revisión sistemática (Relaxation methods based interventions in a school context from a perspective of health and w,2022,0,"Topic 1: program, service, leadership"
Sole Sourcing Reliance,2022,0,"Topic 1: program, service, leadership"
Applying Model-Based Systems Engineering in Search of Quality by Design,2022,1,"Topic 2: system, process, model"
Pancreatic cancer cells spectral library by DIA-MS and the phenotype analysis of gemcitabine sensitivity,2022,0,"Topic 1: program, service, leadership"
Staff Hypertension Education Program for Vulnerable Populations in a Primary Care Setting,2022,0,"Topic 1: program, service, leadership"
From the Editor-in-Chief,2021,3,"Topic 4: army, would, training"
STITCHING THE ARMY'S DATA FABRIC,2021,1,"Topic 2: system, process, model"
A 'triple-dog-dare' to achieve quality through strategic layering,2021,1,"Topic 2: system, process, model"
Using Risk as the Lens to Envision High-Reliability Principles in Healthcare,2021,0,"Topic 1: program, service, leadership"
Sustaining Relevance: Repositioning Strategic Logistics Innovation in the Military,2021,3,"Topic 4: army, would, training"
Seating Solution,2021,2,"Topic 3: project, management, process"
Tech Program Preview,2021,1,"Topic 2: system, process, model"
Improvement of Project Management Efficiency With a Business Intelligence Solution in an Automotive Supplier Company,2021,2,"Topic 3: project, management, process"
Os Três Pilares da Sustentabilidade e Gestão ágil de Projectos: Como é Que Eles se Influenciam,2021,2,"Topic 3: project, management, process"
Productivity Improvement in a Company of the Industry of Bolting Systems,2021,2,"Topic 3: project, management, process"
Machine Learning Models for Predictive Quality,2021,1,"Topic 2: system, process, model"
Analytics for Model-Based Engineering Trade Studies in the Development of DoD Systems,2021,1,"Topic 2: system, process, model"
High Reliability at a U.S. Air Force Outpatient Clinic: Have We Improved and Are We Ready for the Future,2021,0,"Topic 1: program, service, leadership"
Breaking the Black Brass Ceiling: An Examination of Success Strategies of Veteran and Retired African American Female Leaders during Their Career Ascension to Top Leadership Positions in the United States Department of Defense,2021,0,"Topic 1: program, service, leadership"
A Qualitative Study on Government Project Overruns: From the Users Perspective,2021,0,"Topic 1: program, service, leadership"
Conducting a Line Operations Safety Audit (LOSA) during Aeromedical Evacuation (AE) en Route Care Operations – Developing a Model for LOSA within a Patient Care Setting,2021,0,"Topic 1: program, service, leadership"
The Evolution of Organization Development in the U.S. Military: An Examination of Intervention Typologies,2021,1,"Topic 2: system, process, model"
A Novel Shock Absorber with the Preload and Global Negative Stiffness for Effective Shock Isolation,2021,1,"Topic 2: system, process, model"
LEADERSHIP THROUGH INSPIRATION,2021,3,"Topic 4: army, would, training"
CREATING SUCCESS OUT OF NECESSITY,2021,2,"Topic 3: project, management, process"
Tobacco smoking induces metabolic reprogramming of renal cell carcinoma,2021,0,"Topic 1: program, service, leadership"
Modular Open Systems Approach (MOSA) and Its Impact on the US Defense Acquisition Methods and Programs,2021,1,"Topic 2: system, process, model"
"How to perform spectrum-based LC-HR-MS screening for more than 1,000 NPS with HighResNPS consensus fragment ions",2020,0,"Topic 1: program, service, leadership"
Interview with Honorable Thomas W. Harker,2020,0,"Topic 1: program, service, leadership"
To Travel or Not to Travel: New tool helps Reservists make an informed de,2020,0,"Topic 1: program, service, leadership"
NAVSUP FLC Jacksonville Introduces New Procurement Tracker Tool: ProTrack,2020,1,"Topic 2: system, process, model"
THE DROIDS YOU'RE LOOKING FOR,2020,1,"Topic 2: system, process, model"
UNDERSTANDING the CONTRACTING ENVIRONMENT in the AFSB: Army Logistician,2020,2,"Topic 3: project, management, process"
Exploring the Factors Responsible for the Delays in the Execution of Construction Projects by the National Department of Public Works and Infrastructure in South Africa,2020,2,"Topic 3: project, management, process"
Risk Profile of Polish Enterprises in the Media Sector Listed on the Warsaw Stock Exchange,2020,0,"Topic 1: program, service, leadership"
USING SELR (SIMPLIFY-ENABLE-LEVERAGE-RESOURCE) TO DEVELOP SOLUTIONS TO IDENTIFIED OPPORTUNITIES,2020,3,"Topic 4: army, would, training"
The expression signatures in liver and adipose tissue from obese Göttingen Minipigs reveal a predisposition for healthy fat accumulation,2020,0,"Topic 1: program, service, leadership"
IMPROVING THE FABRICATION PROCESS AT TOBYHANNA ARMY DEPOT,2020,2,"Topic 3: project, management, process"
IMPROVING FISCAL STEWARDSHIP WITHIN THE GOVERNMENT SECTOR: DEVELOPMENT & IMPLEMENTATION OF THE EXECUTION RATIO,2020,1,"Topic 2: system, process, model"
DEVELOPMENT OF AN EARLY LIFECYCLE CONCEPTUAL CONFIGURATION MANUFACTURABILITY ASSESSMENT METRIC FOR TRADESPACE ANALYTICS,2020,1,"Topic 2: system, process, model"
System Engineering for Radio Frequency Communication Consolidation with Parabolic Antenna Stacking,2020,1,"Topic 2: system, process, model"
The Army’s Process to Evaluate Costs versus Benefits: A Case Study on the Change of Command Ceremonies,2020,3,"Topic 4: army, would, training"
Corrosion Prevention and Control Planning,2020,1,"Topic 2: system, process, model"
The Efficacy of the Civilian Education System Intermediate Course: An Exploratory Case Study,2020,0,"Topic 1: program, service, leadership"
U.S. Air Force Senior Enlisted Members’ Retirement Decisions and Job Embeddedness: A Generic Qualitative Inquiry,2020,0,"Topic 1: program, service, leadership"
Academic Resilience: Experiences of Latino United States Army Active-Duty Soldiers and Veterans,2020,0,"Topic 1: program, service, leadership"
"Leadership Styles, Employee Performance and Turnover within the Federal Government Information Technology Environment",2020,0,"Topic 1: program, service, leadership"
"Organizational Challenges and Concretion of Cybersecurity Education, Training, Exercises, and Performance Predictors Within the United States Department of Defense",2020,1,"Topic 2: system, process, model"
